epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,1299.07,0.82439,0.63635,1.18978,0.95258,0.9237,0.96068,0.77672,0.7459,0.4267,1.1576,0.007525,0.007525,0.007525
27,2275.36,0.82369,0.63675,1.18928,0.96131,0.92654,0.96659,0.78704,0.72909,0.40761,1.14658,0.007426,0.007426,0.007426
28,3253.92,0.81761,0.63398,1.18371,0.94944,0.92413,0.96291,0.78051,0.74169,0.40965,1.15715,0.007327,0.007327,0.007327
29,4200.08,0.81258,0.62409,1.1805,0.95867,0.91716,0.96159,0.78404,0.72792,0.41089,1.14252,0.007228,0.007228,0.007228
30,5203.42,0.8072,0.61383,1.17492,0.95246,0.92705,0.96222,0.77967,0.73057,0.40372,1.15258,0.007129,0.007129,0.007129
31,6189.19,0.80798,0.61422,1.17991,0.95272,0.92983,0.96377,0.78561,0.72781,0.39946,1.14313,0.00703,0.00703,0.00703
32,7185.78,0.80017,0.60774,1.17376,0.96431,0.92229,0.96566,0.78556,0.72148,0.4026,1.14477,0.006931,0.006931,0.006931
33,8170.62,0.79934,0.60934,1.17244,0.95285,0.92681,0.96325,0.7893,0.70915,0.39553,1.13463,0.006832,0.006832,0.006832
34,9121.28,0.78939,0.59352,1.1674,0.94973,0.93752,0.96454,0.78921,0.7277,0.39443,1.14192,0.006733,0.006733,0.006733
35,10069.9,0.78483,0.59381,1.16568,0.95689,0.93085,0.96441,0.79007,0.70899,0.3859,1.13256,0.006634,0.006634,0.006634
36,11068,0.78748,0.59056,1.16658,0.96898,0.91835,0.96439,0.79547,0.70538,0.38133,1.12967,0.006535,0.006535,0.006535
37,12013.9,0.78234,0.58519,1.1652,0.95676,0.93147,0.96574,0.79288,0.7094,0.38069,1.13816,0.006436,0.006436,0.006436
38,13017.8,0.77851,0.58051,1.15949,0.96847,0.92191,0.96646,0.79561,0.70723,0.38203,1.13465,0.006337,0.006337,0.006337
39,14002.5,0.76681,0.57064,1.15271,0.96694,0.92515,0.96886,0.79929,0.69999,0.37476,1.12253,0.006238,0.006238,0.006238
40,15001.4,0.76785,0.56468,1.1558,0.96621,0.9285,0.96742,0.80076,0.69831,0.3722,1.12018,0.006139,0.006139,0.006139
41,15985.4,0.76663,0.56177,1.15646,0.9699,0.92856,0.96691,0.79836,0.69871,0.37012,1.12231,0.00604,0.00604,0.00604
42,17040.5,0.75859,0.56326,1.14668,0.95412,0.93414,0.96654,0.80107,0.69339,0.37116,1.11956,0.005941,0.005941,0.005941
43,18029.4,0.75726,0.55869,1.14751,0.96376,0.9342,0.96678,0.79998,0.69588,0.3683,1.12261,0.005842,0.005842,0.005842
44,19028.9,0.75231,0.54617,1.14481,0.96256,0.93236,0.96813,0.80049,0.69286,0.36977,1.11844,0.005743,0.005743,0.005743
